"SKU","Quantity"
"doubledare001blue-M",22
"mm001Nblu-FBA-2XL",22
"doubledare001blue-FBA-M",22
"mm001Ngrn-S",22
"220846-CustomRobeKids-Flag",22
"hangover014-XL",22
"paul001-L",22
"legendstempleblue-M",21
"PowerRangers-Yellow-SLShirt-XL",21
"hotrodcostumeset-XL",21
"bigl032-M",21
"bigl032-FBA-M",21
"HJCO2021-HootersCostumeSet-L",21
"nap027-XL",21
"hulk001yred-M",21
"BoxingRobe-AmericanFlag",21
"bigbang072-L",21
"BoysColonialWig-1192",21
"PowerRangers-Blue-SLShirt-XS",21
"HJCO2021-HootersCostume-FBA-L",21
"PowerRangers-Blue-SLShirt-FBA-XS",21
"sanford068-XL",21
"220929-LucyDressKids-7-8",21
"sein023-XXL",21
"hulkb1goldN",21
"ledzeppelin002-L",21
"forestgumphat1",21
"powerrangers018black-6/12",21
"SNL007tan-XXL",21
"CowgirlShirt-204051-S",21
"CowgirlShirt-204051-FBA-S",21
"hulkpants001-S",21
"1159-DeluxeVikingWigBeardSetBrown",21
"hulkpants001-FBA-S",21
"powerrangerssweatshirtGreen-L",21
"wwe056-L",21
"nerdstankdressPURPLE-S",21
"incredhulk013-XXL",21
"forrestgumphat001",21
"flinttropicscostume-FBA1",21
"starwars017-XXL",21
"flinttropicscostume-FBA-S",21
"shopkins004-6",21
"flinttropicscostume",21
"PRangersShirtYouth-Green-M",21
"greatest002-M",21
"starwars129-S",21
"doubledare001blue-XXL",20
"orangetux-XL",20
"hulk001yl",20
"100584-SheriffBoots-10/11",20
"napoleonaccesssoryboots-L",20
"ssharleyquinnglove1",20
"bigdudewig001",20
